user_id,rec_date,market_regime_at_rec,treatment,propensity,outcome_30d_return_pct,true_ite,age,risk_tolerance,portfolio_value,tenure_months,current_equity_allocation_pct,regime,volatility_index,interest_rate,inflation_rate,holding_alternatives_pct,holding_bonds_pct,holding_cash_pct,holding_equity_pct,equity_overweight_vs_risk,is_bull,is_bear,is_volatile,log_portfolio_value
11,2026-01-01,bear,0,0.0509,-2.76,-2.466,45,4.5,28824.14,54,42.0,bear,1.3419003578201232,1.4607126363275518,2.792818387119572,11.92,37.39,8.69,42.0,-3.0,0,1,0,10.268968509479691
12,2024-09-27,bull,1,0.617,3.43,3.512,50,8.5,93801.63,86,78.2,bull,1.0137405210604191,1.833144262662576,2.654481710159761,4.95,14.04,2.81,78.2,-6.799999999999997,1,0,0,11.448937512242052
13,2025-02-09,bear,0,0.05,2.182,-1.884,52,4.6,33557.84,119,46.8,bear,1.368122867504676,1.5951626356024025,2.750101641386912,9.14,30.83,13.23,46.8,0.7999999999999972,0,1,0,10.421025796173684
14,2026-02-10,volatile,0,0.2639,5.134,-0.722,54,6.3,21933.57,75,53.6,volatile,2.0362131590893027,1.5030128141141306,2.859590604805014,11.78,28.38,6.24,53.6,-9.399999999999999,0,0,1,9.99577361886064
15,2025-07-12,bear,1,0.1907,-1.758,-2.044,44,6.7,44285.63,115,51.9,bear,1.5480502948116357,1.4329246962842472,2.750557507999809,17.28,24.12,6.7,51.9,-15.100000000000001,0,1,0,10.698415524178397
16,2025-07-15,bear,1,0.201,-1.652,-0.534,30,8.9,9326.49,78,68.4,bear,1.7721667943748385,1.4488007387396546,2.734046446112247,7.1,20.18,4.32,68.4,-20.599999999999994,0,1,0,9.140614017270458
17,2025-11-26,bull,1,0.5558,2.33,2.54,30,4.9,45831.11,101,32.5,bull,1.0,1.4381117098470464,2.767107520770483,19.95,37.25,10.29,32.5,-16.5,1,0,0,10.73271839715314
18,2025-07-17,bear,1,0.1493,-1.849,-2.468,30,4.2,7768.39,21,37.3,bear,1.56370554759877,1.461579688442035,2.761321166345013,19.85,32.75,10.11,37.3,-4.700000000000003,0,1,0,8.957818214684107
19,2024-05-21,bear,0,0.1137,-0.572,-2.388,54,2.5,12994.39,7,28.7,bear,1.6905994059971263,1.8639235746276583,2.489711914874921,20.75,37.01,13.55,28.7,3.6999999999999993,0,1,0,9.472273004842616
20,2024-08-04,bear,0,0.2797,-0.646,-1.48,67,8.6,4823.76,80,83.9,bear,1.3363733455073563,1.8365013122451987,2.583134832613033,4.81,8.62,2.68,83.9,-2.0999999999999943,0,1,0,8.481308985925606
21,2025-12-06,bear,1,0.1332,-1.491,-1.481,68,6.3,30481.74,117,58.3,bear,1.0,1.4245207196668126,2.7797870075373967,12.32,22.98,6.4,58.3,-4.700000000000003,0,1,0,10.324883094785378
22,2024-08-29,volatile,0,0.3388,1.219,-0.25,38,6.4,181613.07,88,47.9,volatile,1.9465315074520493,1.7978388758264237,2.590881497201743,11.65,31.31,9.14,47.9,-16.1,0,0,1,12.109633713925154
23,2025-08-30,bull,1,0.8939,4.593,4.032,26,10.0,32303.26,41,68.5,bull,1.0,1.519579793147332,2.728573843842387,9.98,17.38,4.14,68.5,-31.5,1,0,0,10.38292343291035
24,2025-03-18,bear,0,0.0708,-0.703,-2.506,55,6.2,69119.03,59,51.7,bear,1.5974056355730455,1.6586729232967663,2.739707423416074,15.57,22.03,10.69,51.7,-10.299999999999997,0,1,0,11.143585369814652
25,2025-07-22,bear,0,0.1011,-0.546,-2.858,24,2.9,381670.86,14,36.8,bear,1.0889962380491562,1.4582161775433624,2.750067926009942,15.34,39.25,8.61,36.8,7.799999999999997,0,1,0,12.852313893141575
26,2024-08-25,volatile,0,0.1684,-0.068,-0.399,55,5.1,54396.54,41,43.9,volatile,2.711645533125985,1.79591397611525,2.561195997382691,18.19,29.28,8.62,43.9,-7.100000000000001,0,0,1,10.904055827880105
27,2024-10-27,volatile,1,0.1117,-2.109,-1.089,42,3.6,16895.25,82,39.5,volatile,2.622471031272311,1.7991472947001703,2.794238316760973,17.25,35.5,7.75,39.5,3.5,0,0,1,9.734787796316212
28,2025-09-19,bear,0,0.0881,-0.511,-1.863,66,4.7,19388.42,20,41.5,bear,1.0,1.510855720896175,2.755998759266373,14.33,37.78,6.39,41.5,-5.5,0,1,0,9.872431259614888
29,2024-06-29,bear,0,0.1055,1.514,-1.873,55,4.7,36339.41,58,48.6,bear,1.1144320428201315,1.8420538883643007,2.5530293824135653,12.59,33.14,5.67,48.6,1.6000000000000014,0,1,0,10.500658106265254
30,2024-10-25,volatile,0,0.1259,0.175,-1.148,61,4.3,19285.43,35,27.3,volatile,1.969658478417737,1.8031884700945435,2.800740441436934,25.36,37.33,10.0,27.3,-15.7,0,0,1,9.867105167515867
31,2026-06-14,bull,0,0.3077,-2.18,1.907,43,2.7,20783.47,59,41.7,bull,1.0,1.730897947450435,3.0093525323976418,14.51,29.26,14.53,41.7,14.700000000000003,1,0,0,9.941913238200328
32,2024-06-12,bear,0,0.3122,2.28,-1.338,66,8.7,97270.78,91,62.0,bear,1.7225083446575302,1.87853009960962,2.526506764553797,12.94,20.58,4.48,62.0,-25.0,0,1,0,11.485253914747753
33,2025-06-15,bull,0,0.6005,1.245,2.696,49,6.1,101331.87,106,59.0,bull,1.0,1.4532807907964618,2.7160912306147424,8.9,26.5,5.59,59.0,-2.0,1,0,0,11.526156250826507
34,2024-06-12,bear,0,0.1245,-1.517,-1.953,55,5.0,6996.1,49,42.8,bear,1.7225083446575302,1.87853009960962,2.526506764553797,24.7,26.57,5.93,42.8,-7.200000000000003,0,1,0,8.853108129918555
35,2025-10-05,bull,1,0.6258,2.816,2.699,41,7.0,16023.8,99,58.1,bull,1.0,1.4931250175688262,2.7703772640190936,9.2,22.74,9.96,58.1,-11.899999999999999,1,0,0,9.68183039598968
36,2024-05-22,bear,0,0.1921,-0.553,-1.494,45,6.4,22833.76,84,52.9,bear,1.0,1.865378505098012,2.4886733535015404,15.91,21.35,9.83,52.9,-11.100000000000001,0,1,0,10.03599542153901
37,2025-06-12,bull,1,0.6869,4.164,2.528,66,6.1,66110.9,110,54.7,bull,1.0,1.47584542311172,2.742328964474632,16.54,22.74,6.02,54.7,-6.299999999999997,1,0,0,11.099088913909139
38,2025-02-16,bear,0,0.2259,0.103,-1.754,42,6.9,113899.94,89,62.0,bear,1.0,1.587176448461696,2.7390132838561616,7.49,22.45,8.06,62.0,-7.0,0,1,0,11.643075622657259
39,2025-09-22,bull,0,0.5951,0.496,2.802,23,5.8,541429.39,66,59.1,bull,1.0,1.4754917110346248,2.742195901756925,12.59,22.98,5.33,59.1,1.1000000000000014,1,0,0,13.201967939875503
40,2024-02-04,volatile,0,0.3411,0.354,-0.361,42,6.8,22795.69,81,68.9,volatile,2.7520951725615834,1.830856715287589,2.4917780214551977,10.52,14.03,6.55,68.9,0.9000000000000057,0,0,1,10.034326761985428
41,2025-04-23,bear,0,0.2238,-1.555,-1.816,42,7.0,23963.12,38,61.7,bear,1.0,1.5939272681656982,2.6734059757718494,10.21,21.83,6.26,61.7,-8.299999999999997,0,1,0,10.084271260780264
42,2025-05-16,volatile,0,0.4335,2.698,-0.098,44,5.8,65419.13,81,64.3,volatile,2.510687626988114,1.550375533980931,2.732565090146599,10.46,17.59,7.65,64.3,6.299999999999997,0,0,1,11.08857000231853
43,2024-08-28,volatile,1,0.2856,0.952,-0.587,25,5.1,18357.31,85,46.4,volatile,3.3577173457864298,1.8121338582100583,2.586323834149561,18.19,24.88,10.53,46.4,-4.600000000000001,0,0,1,9.817783139279014
44,2024-10-17,volatile,1,0.3685,-0.399,-0.006,28,8.6,31540.83,73,78.8,volatile,2.698472948654441,1.803299037299902,2.784232557580296,5.91,12.46,2.83,78.8,-7.200000000000003,0,0,1,10.359038175960249
45,2025-10-05,bull,1,0.3861,3.284,2.457,39,4.5,23979.68,13,44.9,bull,1.0,1.4931250175688262,2.7703772640190936,15.17,30.12,9.81,44.9,-0.10000000000000142,1,0,0,10.084962084038755
46,2025-05-24,volatile,0,0.2457,2.073,-0.382,44,6.3,2639.5,62,49.7,volatile,2.7950377747361155,1.53535125495416,2.7230690966999886,9.89,28.58,11.83,49.7,-13.299999999999997,0,0,1,7.878344784263671
47,2025-06-16,bull,1,0.5726,3.033,2.319,23,6.3,41078.22,85,55.5,bull,1.0,1.4320098153603031,2.727672934480935,14.71,24.89,4.9,55.5,-7.5,1,0,0,10.623233333016085
48,2026-04-21,volatile,1,0.189,1.231,-1.612,42,4.3,30261.73,24,44.1,volatile,3.1555682831795675,1.6760891107644948,2.933995848801151,16.03,29.01,10.86,44.1,1.1000000000000014,0,0,1,10.317639156891216
49,2025-01-17,volatile,0,0.1181,4.873,-0.709,38,3.9,129473.44,94,37.0,volatile,2.375047304456644,1.5860285525896414,2.799896967640927,16.9,32.55,13.56,37.0,-2.0,0,0,1,11.771231042561464
50,2026-02-22,volatile,0,0.2617,0.356,-0.968,23,4.8,36515.44,101,46.9,volatile,1.9954503664025456,1.5588018902831653,2.8643515773084194,20.74,25.91,6.45,46.9,-1.1000000000000014,0,0,1,10.505490463824142
51,2026-05-24,volatile,1,0.1007,-1.513,-1.173,35,4.5,10355.29,65,48.4,volatile,1.6130705347320573,1.7593269669164826,2.9576959427679874,14.05,25.6,11.94,48.4,3.3999999999999986,0,0,1,9.245252779231832
52,2025-06-14,bull,0,0.223,-1.039,1.822,36,2.6,28054.41,115,28.0,bull,1.0,1.471363166346502,2.7171830203097693,16.98,42.21,12.82,28.0,2.0,1,0,0,10.241901117844527
53,2024-08-03,bear,0,0.1027,-2.796,-2.148,29,4.2,4486.9,103,15.8,bear,1.0736018530771028,1.8332527956600884,2.584768988515492,21.23,42.95,20.02,15.8,-26.2,0,1,0,8.408917319121883
54,2025-01-28,bear,0,0.0898,2.482,-2.086,61,6.0,10819.25,56,65.4,bear,1.533770143063277,1.6178874763323357,2.777291051678402,7.35,21.72,5.53,65.4,5.400000000000006,0,1,0,9.289082233916671
55,2024-03-13,bull,0,0.6072,0.185,3.524,25,8.0,68562.84,106,63.6,bull,1.0,1.8844181387185424,2.4540563859727667,5.91,21.86,8.63,63.6,-16.4,1,0,0,11.135505975984325
56,2025-09-28,bull,1,0.5828,5.405,3.446,52,6.6,28357.86,112,49.6,bull,1.0,1.478858425289952,2.7444135066287747,17.04,25.84,7.53,49.6,-16.4,1,0,0,10.252659519406835
57,2024-09-25,bull,1,0.221,3.534,1.554,57,1.0,91354.99,13,8.0,bull,1.0,1.829373424947545,2.663675092306555,25.72,51.44,14.84,8.0,-2.0,1,0,0,11.422508185382677
58,2026-04-10,bull,1,0.648,2.28,3.247,64,6.8,5080.21,119,54.9,bull,1.0504065667730556,1.6975802090317584,2.877654260448139,9.79,27.16,8.14,54.9,-13.100000000000001,1,0,0,8.53310787830079
59,2025-08-19,bull,1,0.4265,1.396,2.264,50,4.4,28496.56,1,36.3,bull,1.6614149416845296,1.481845920171434,2.713383737216293,22.56,31.36,9.78,36.3,-7.700000000000003,1,0,0,10.257538657217314
60,2025-03-31,volatile,1,0.2333,2.877,-0.363,50,6.4,22572.5,58,48.9,volatile,2.15493082588031,1.6327939047232998,2.7257046273521364,15.73,29.86,5.52,48.9,-15.100000000000001,0,0,1,10.024487630181634
61,2024-07-12,bear,0,0.1265,0.478,-2.017,62,5.5,94452.14,112,43.0,bear,1.7225563438305609,1.854710950444862,2.581232608619629,21.61,29.55,5.84,43.0,-12.0,0,1,0,11.455848530163715
62,2024-04-27,bull,1,0.6146,2.091,2.512,67,5.1,71165.45,87,49.9,bull,1.0356252289229468,1.9791650413914617,2.5234601339687166,13.44,30.77,5.89,49.9,-1.1000000000000014,1,0,0,11.172762726817833
63,2025-09-05,bull,1,0.6423,1.075,2.063,33,5.3,69026.94,32,63.3,bull,1.0,1.512669025711905,2.7344719491434404,11.62,17.08,8.0,63.3,10.299999999999997,1,0,0,11.142252142162178
64,2025-11-25,bull,0,0.5518,0.377,2.269,64,5.5,169635.97,77,55.1,bull,1.0792575908037814,1.4481169666886204,2.769011614553522,14.79,21.01,9.1,55.1,0.10000000000000142,1,0,0,12.041410067116766
65,2024-09-19,bull,1,0.7254,5.869,2.882,46,8.2,25132.39,26,76.4,bull,1.0,1.8476660731108083,2.64242543572333,5.92,12.41,5.27,76.4,-5.599999999999994,1,0,0,10.131912731467052
66,2024-02-11,bull,1,0.5428,4.189,2.571,27,5.5,138009.92,29,45.5,bull,1.0,1.836333998729505,2.472813904384166,21.84,26.52,6.14,45.5,-9.5,1,0,0,11.835080845613778
67,2024-11-04,volatile,1,0.3812,1.137,0.185,54,7.7,12782.01,109,64.7,volatile,3.0934963649544187,1.7815740811675935,2.835630000034148,9.34,17.5,8.47,64.7,-12.299999999999997,0,0,1,9.455793992560102
68,2025-11-24,bull,0,0.7046,3.067,2.874,73,7.4,12321.76,6,65.2,bull,1.079385517368879,1.4628136211093232,2.774751617931348,8.4,21.43,4.97,65.2,-8.799999999999997,1,0,0,9.419122084027258
69,2025-06-17,bull,0,0.7618,2.749,3.136,29,6.8,77091.37,115,52.3,bull,1.0,1.445733689701739,2.7410704118148663,18.38,23.43,5.89,52.3,-15.700000000000003,1,0,0,11.252746620731381
70,2024-04-15,bull,0,0.1803,0.911,1.107,22,1.9,8064.76,54,19.9,bull,1.0,1.940848968457004,2.4742085687134128,30.04,39.59,10.47,19.9,0.8999999999999986,1,0,0,8.995259231902018
71,2024-05-11,bear,1,0.1779,3.317,-1.547,70,7.7,64393.35,8,70.7,bear,1.0195676274759118,1.881341024217456,2.4768869561945284,7.89,18.39,3.02,70.7,-6.299999999999997,0,1,0,11.07276564589111
72,2024-05-04,bull,0,0.5029,0.174,2.464,53,4.6,40187.58,94,50.9,bull,1.0,1.884874003483901,2.488484476768225,13.15,30.74,5.22,50.9,4.899999999999999,1,0,0,10.601313271646735
73,2025-11-18,bull,1,0.6437,5.506,3.199,33,6.9,106069.81,6,58.8,bull,1.0,1.5051740939222509,2.782916393943014,9.1,25.35,6.75,58.8,-10.200000000000003,1,0,0,11.571852741227996
74,2025-12-09,bear,1,0.0575,-2.907,-2.809,64,3.6,34219.67,39,25.6,bear,1.35587727485345,1.4486345432913206,2.813863743626748,23.41,34.63,16.36,25.6,-10.399999999999999,0,1,0,10.440555903916342
75,2025-01-19,volatile,0,0.0792,1.814,-1.15,42,3.1,38409.07,29,29.3,volatile,2.025625188009541,1.5912720956093915,2.7902839518111957,18.88,35.44,16.38,29.3,-1.6999999999999993,0,0,1,10.556048908602149
76,2025-09-20,bear,1,0.3947,-0.619,-1.034,39,9.5,60431.45,94,65.0,bear,1.3253323814642513,1.50903493160269,2.7540972901591307,5.33,21.02,8.65,65.0,-30.0,0,1,0,11.009264943772353
77,2024-02-20,bull,1,0.3485,3.058,1.871,37,3.6,18720.05,48,35.8,bull,1.0,1.8762319086044064,2.451876627600342,15.89,39.57,8.74,35.8,-0.20000000000000284,1,0,0,9.837350420968187
78,2025-06-02,bull,0,0.5342,4.29,3.233,53,7.8,17922.17,78,66.6,bull,1.0,1.488500944381374,2.7222211933425187,8.81,17.76,6.83,66.6,-11.400000000000006,1,0,0,9.793793772947666
79,2024-09-24,bull,1,0.6538,4.756,2.728,29,5.7,58362.54,9,47.7,bull,1.0,1.8328572684581683,2.6547905903842124,15.94,26.84,9.52,47.7,-9.299999999999997,1,0,0,10.974429524650558
80,2026-01-11,bear,0,0.1146,1.256,-2.145,41,4.7,35267.33,83,44.8,bear,1.9262115063995855,1.5552863827332886,2.790610884184161,16.73,27.46,11.01,44.8,-2.200000000000003,0,1,0,10.470712318635062
81,2025-03-30,bear,0,0.1098,-0.577,-1.948,38,5.4,24165.62,85,51.1,bear,1.0,1.6438862760593298,2.7244609133971838,18.25,25.35,5.29,51.1,-2.8999999999999986,0,1,0,10.09268624089191
82,2026-02-07,volatile,0,0.0832,0.726,-1.604,25,2.9,33430.23,35,32.4,volatile,2.592166979656704,1.50004956103919,2.8657159492621096,8.78,43.5,15.32,32.4,3.3999999999999986,0,0,1,10.417215859438338
83,2025-06-02,bull,0,0.566,-0.922,2.616,62,5.5,178895.93,105,38.9,bull,1.0,1.488500944381374,2.7222211933425187,22.6,31.21,7.3,38.9,-16.1,1,0,0,12.09455951909828
84,2025-03-03,bull,1,0.5263,3.816,2.005,22,3.3,23318.02,56,31.1,bull,1.0,1.6322918049673103,2.734349527119452,18.59,41.14,9.17,31.1,-1.8999999999999986,1,0,0,10.056981731199361
85,2026-05-01,bear,0,0.0528,1.833,-2.033,72,4.7,22651.48,80,46.2,bear,1.9789845262827748,1.671511578785615,2.9493720219906843,11.41,30.72,11.67,46.2,-0.7999999999999972,0,1,0,10.027980470939829
86,2026-06-12,bull,1,0.4989,3.27,2.854,27,7.4,6585.04,22,74.4,bull,1.0,1.7464429681911633,2.9753603727123203,9.03,12.91,3.65,74.4,0.4000000000000057,1,0,0,8.792555688570474
87,2025-03-02,bear,0,0.1116,3.097,-1.575,40,6.0,34809.55,112,49.8,bear,2.325231616921877,1.6418275131142508,2.7367629733284984,19.56,23.21,7.43,49.8,-10.200000000000003,0,1,0,10.45764705340219
88,2024-12-07,bear,0,0.0532,2.718,-3.295,27,2.5,70044.32,30,31.9,bear,1.5985158011469902,1.6614007382671436,2.795280794189652,20.92,38.78,8.4,31.9,6.899999999999999,0,1,0,11.156883463538263
89,2025-08-14,bull,1,0.6041,3.78,2.881,41,7.2,83800.82,75,67.4,bull,1.0,1.4871452718475962,2.707401487439582,4.92,20.88,6.79,67.4,-4.599999999999994,1,0,0,11.336198071625164
90,2024-06-29,bear,0,0.1529,1.437,-2.083,54,5.5,40466.01,11,46.9,bear,1.1144320428201315,1.8420538883643007,2.5530293824135653,17.5,26.06,9.54,46.9,-8.100000000000001,0,1,0,10.608217641460149
91,2025-01-01,volatile,0,0.2228,-0.368,-1.209,26,4.4,94450.73,6,50.0,volatile,3.0758406864300536,1.616573661870598,2.82573147970163,15.72,26.41,7.87,50.0,6.0,0,0,1,11.455833601856908
92,2026-02-02,volatile,1,0.2995,0.099,-0.137,49,7.0,75450.37,16,68.6,volatile,3.002253775803078,1.5034312345466658,2.8554852534754684,10.1,17.65,3.65,68.6,-1.4000000000000057,0,0,1,11.231230368093845
93,2026-03-18,bear,0,0.124,-1.043,-2.024,62,5.2,110519.83,113,57.4,bear,1.0553273738913294,1.6167759088774334,2.8332354044138,16.38,21.0,5.22,57.4,5.399999999999999,0,1,0,11.612950240853035
94,2025-01-26,bear,0,0.0719,-0.246,-3.238,46,3.2,97178.29,26,36.1,bear,1.3505684420188573,1.5844191078933716,2.786552210710837,20.25,30.98,12.67,36.1,4.100000000000001,0,1,0,11.484302611591866
95,2025-01-04,bull,0,0.7438,0.618,3.492,27,9.2,174552.04,105,93.3,bull,1.0,1.6028912837291682,2.833037881023052,1.03,4.35,1.32,93.3,1.2999999999999972,1,0,0,12.069978199660534
96,2026-02-27,volatile,1,0.1476,-2.938,-1.025,58,5.5,30647.51,70,43.6,volatile,2.2713410573671635,1.553482784451187,2.869447497660908,9.39,36.49,10.52,43.6,-11.399999999999999,0,0,1,10.330306698259985
97,2024-07-25,bear,0,0.0677,1.436,-1.448,31,5.3,9632.92,11,64.1,bear,1.9260374430118716,1.872326389326028,2.588161940622786,9.42,18.19,8.29,64.1,11.099999999999994,0,1,0,9.172941677937507
98,2024-03-25,bull,1,0.352,4.402,2.324,22,4.7,70524.73,53,49.0,bull,1.4610679470392385,1.923598093533276,2.4656513777196585,21.48,23.64,5.88,49.0,2.0,1,0,0,11.163718707433233
99,2024-04-04,bull,0,0.6727,0.698,3.258,45,7.9,79265.1,58,76.0,bull,1.0,1.9606725955026023,2.483948457228106,3.91,15.35,4.74,76.0,-3.0,1,0,0,11.2805532098674
100,2024-05-08,bull,0,0.5135,-3.506,2.27,36,4.5,174555.04,32,38.9,bull,1.0,1.8788570411751644,2.4822325823346554,14.93,38.85,7.33,38.9,-6.100000000000001,1,0,0,12.069995386364395
101,2026-03-04,volatile,0,0.0573,0.041,-1.249,23,2.4,130782.43,72,33.6,volatile,2.417088857862287,1.6003467024511568,2.874873885058644,17.34,40.08,8.98,33.6,9.600000000000001,0,0,1,11.781290381765402
102,2024-03-07,bull,0,0.4349,-1.575,2.373,63,4.1,254097.28,103,50.1,bull,1.4550198464334752,1.860912087660474,2.4622000085628697,12.3,25.88,11.72,50.1,9.100000000000001,1,0,0,12.445472464803894
103,2024-11-15,bear,0,0.1836,-0.191,-1.659,53,8.2,67498.05,106,58.7,bear,1.155990049219033,1.739095165843588,2.8436693642162263,11.03,21.98,8.28,58.7,-23.299999999999997,0,1,0,11.11985398755444
104,2025-07-06,volatile,0,0.2273,2.844,0.403,70,7.2,45652.36,63,59.1,volatile,1.8826395046576276,1.4409775211840463,2.7393064336919024,5.8,25.66,9.43,59.1,-12.899999999999999,0,0,1,10.728810582386725
105,2025-07-12,bear,0,0.0994,-3.092,-1.776,47,5.0,9090.79,107,27.9,bear,1.5480502948116357,1.4329246962842472,2.750557507999809,30.61,32.57,8.92,27.9,-22.1,0,1,0,9.115017092086052
106,2026-01-21,volatile,0,0.2762,-0.513,0.29,45,8.2,49419.31,110,66.0,volatile,2.3529394677160904,1.5551091607661147,2.831580449063345,6.19,21.55,6.27,66.0,-16.0,0,0,1,10.80809651748641
107,2026-05-30,bull,1,0.7196,4.824,2.914,66,7.0,20899.84,11,52.5,bull,1.0,1.7303344869902375,2.9687964499225528,16.35,25.94,5.21,52.5,-17.5,1,0,0,9.947496782421206
108,2025-01-15,volatile,0,0.1862,-0.497,-1.581,26,5.0,44869.34,76,43.3,volatile,1.872283109522148,1.602912860589668,2.8024158900120537,17.12,25.8,13.78,43.3,-6.700000000000003,0,0,1,10.711509989702053
109,2024-08-21,bull,0,0.5555,-0.598,2.037,41,5.2,38350.13,93,69.8,bull,1.51476598728422,1.828676276230124,2.5481725925944483,7.17,16.45,6.58,69.8,17.799999999999997,1,0,0,10.554513196620166
110,2024-04-20,bull,0,0.5241,3.674,2.866,64,6.2,58205.41,2,67.1,bull,1.0,1.9632661926290544,2.4770092513912534,12.19,16.25,4.46,67.1,5.099999999999994,1,0,0,10.97173358472591
111,2026-03-14,volatile,0,0.1408,1.05,-0.65,37,3.8,32947.45,72,25.1,volatile,3.2114867243146903,1.6126681868349204,2.855968063981944,15.47,42.1,17.33,25.1,-12.899999999999999,0,0,1,10.402669146951068
112,2024-12-21,bull,1,0.7151,4.71,2.719,68,5.5,92505.2,109,52.9,bull,1.010181062921312,1.6241327050248535,2.792217649362561,16.15,23.91,7.03,52.9,-2.1000000000000014,1,0,0,11.435020138136661
113,2026-03-20,bear,0,0.0738,1.356,-1.843,37,6.1,2384.74,32,59.1,bear,1.598617026489496,1.6084569355345286,2.83600484478905,13.66,22.91,4.34,59.1,-1.8999999999999986,0,1,0,7.776845382704858
114,2024-11-29,bear,0,0.0835,0.66,-2.442,43,2.1,43914.22,103,22.0,bear,1.258985476105028,1.6556750571233545,2.8208331517180074,22.68,41.01,14.31,22.0,1.0,0,1,0,10.6899934646086
115,2025-11-16,bull,0,0.6794,2.466,2.682,69,5.1,120872.29,112,47.1,bull,1.0,1.513370458188536,2.796551837499913,18.69,23.86,10.35,47.1,-3.8999999999999986,1,0,0,11.702489812649045
116,2025-08-11,bull,1,0.5821,5.62,2.202,34,4.9,235637.18,76,46.5,bull,1.0,1.4620150052550709,2.702170402435452,17.75,24.62,11.13,46.5,-2.5,1,0,0,12.370048528156103
117,2025-10-11,volatile,1,0.3271,-1.056,0.785,73,7.6,75505.54,75,52.4,volatile,1.9879467503679975,1.4488533731037123,2.779496546736196,7.8,29.05,10.75,52.4,-23.6,0,0,1,11.231961310028565
118,2025-08-19,bull,1,0.4583,1.407,1.061,24,1.8,195806.66,64,14.3,bull,1.6614149416845296,1.481845920171434,2.713383737216293,19.8,50.11,15.79,14.3,-3.6999999999999993,1,0,0,12.18488302280038
119,2024-10-24,volatile,1,0.1609,-0.706,-1.182,36,4.7,42999.17,49,44.3,volatile,2.009104885133336,1.8025166589980035,2.8026581516651805,18.09,28.49,9.12,44.3,-2.700000000000003,0,0,1,10.668936092163825
120,2024-05-01,bull,1,0.4121,1.967,2.074,53,4.5,36419.61,54,42.3,bull,1.2315462268054542,1.9251723194886416,2.516170065196019,18.84,26.97,11.89,42.3,-2.700000000000003,1,0,0,10.502862644822287
121,2024-02-11,bull,1,0.6567,4.999,2.842,53,7.4,61661.54,63,56.1,bull,1.0,1.836333998729505,2.472813904384166,16.82,19.97,7.11,56.1,-17.9,1,0,0,11.0294156768013
122,2025-01-30,bear,0,0.1018,0.969,-2.139,70,5.4,36199.69,58,41.4,bear,1.1365734020064115,1.6161173142141194,2.783776656989022,14.72,32.3,11.57,41.4,-12.600000000000001,0,1,0,10.496805834241284
123,2026-03-14,volatile,1,0.3433,4.456,0.819,72,9.1,16608.05,99,73.0,volatile,3.2114867243146903,1.6126681868349204,2.855968063981944,8.5,14.0,4.49,73.0,-18.0,0,0,1,9.717642796558385
